A20085112586	MEMORY	KH	기흥/화성 EDS	CHILLER	REFRIGERANT TYPE	YEST	YIW-TP300DC	63000000
A20135000003	FOUNDRY	KH	기흥/화성 S1 LINE	PUMP	DRY	PFEIFFER-VACUUM	ADS602H	65114000
A20135000009	FOUNDRY	KH	기흥/화성 6-1 LINE	PUMP	DRY	PFEIFFER-VACUUM	ADS602H	16875600
A20135000012	FOUNDRY	KH		PUMP	DRY	PFEIFFER-VACUUM	ADS602H	17977143
A20135000018	MEMORY	KH	기흥/화성 13 LINE	PUMP	DRY	PFEIFFER-VACUUM	ADS602H	24219842
A20135000020	FOUNDRY	KH	기흥/화성 6-3 LINE	PUMP	DRY	PFEIFFER-VACUUM	ADP122LM	330494000
A20135000023	FOUNDRY	KH	기흥/화성 6-3 LINE	PUMP	DRY	PFEIFFER-VACUUM	ADP122P	254328000
A20135000030	FOUNDRY	KH	기흥/화성 S1 LINE	PUMP	DRY	PFEIFFER-VACUUM	ADS602H	209994000
A20135000041	FOUNDRY	KH	기흥/화성 6-2 LINE	PUMP	DRY	PFEIFFER-VACUUM	ADP122P	209508000
A20135000050	FOUNDRY	KH	기흥/화성 6-3 LINE	PUMP	DRY	PFEIFFER-VACUUM	ADS602H	183580000
A20135000062	FOUNDRY	KH	기흥/화성 6-2 LINE	PUMP	DRY	PFEIFFER-VACUUM	ADP122LM	183540000
A20135000066	MEMORY	KH	기흥/화성 13 LINE	PUMP	DRY	PFEIFFER-VACUUM	A100L	24400000
A20135000070	MEMORY	KH	기흥/화성 12 INCH U3 END-FAB	PUMP	DRY	PFEIFFER-VACUUM	ADS602H	40340365
A20135000071	FOUNDRY	KH	기흥/화성 6-3 LINE	PUMP	DRY	PFEIFFER-VACUUM	ADS602H	183540000
A20135000072	FOUNDRY	KH	기흥/화성 6-2 LINE	PUMP	DRY	PFEIFFER-VACUUM	ADS602P	183540000
